,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,                Michigan (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596114.0,2593310.0,2584310.0,2569080.0,2553314.0,2531839.0,2503548.0,2470063.0,2418879.0,2372603.0,2334187.0,2301795.0,2272917.0,2249512.0,2230416.0,2209453.0,2194559.0,2181147.0,2164668.0,,,
44,                Minnesota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289715.0,1291261.0,1288795.0,1283687.0,1281946.0,1280557.0,1282381.0,1285074.0,1284179.0,1284103.0,1283284.0,1280883.0,1277500.0,1278711.0,1282700.0,1285300.0,1291882.0,1298811.0,1302615.0,,,
45,                Mississippi (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774353.0,768418.0,763148.0,759447.0,760410.0,760870.0,756990.0,761171.0,760572.0,758539.0,753552.0,747664.0,741819.0,735564.0,731444.0,726375.0,721030.0,714353.0,706138.0,,,
46,                Missouri (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428383.0,1426575.0,1424513.0,1421927.0,1420956.0,1422978.0,1428324.0,1431346.0,1428945.0,1426603.0,1423925.0,1413967.0,1404818.0,1397659.0,1393123.0,1389650.0,1385993.0,1382422.0,1376751.0,,,
47,                Montana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230067.0,227118.0,224772.0,223012.0,221999.0,221685.0,221930.0,223135.0,223814.0,223675.0,223393.0,223113.0,222879.0,224381.0,225508.0,226587.0,227957.0,229243.0,229434.0,,,
48,                Nebraska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450380.0,448307.0,447714.0,447444.0,448360.0,448918.0,450098.0,451946.0,453787.0,456543.0,459743.0,460850.0,462471.0,464517.0,467315.0,470532.0,473700.0,475750.0,476841.0,,,
49,                Nevada (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516018.0,534708.0,552816.0,568963.0,591314.0,611595.0,634403.0,654053.0,662621.0,666041.0,663315.0,657703.0,655307.0,656116.0,659946.0,667343.0,674878.0,681303.0,688997.0,,,
50,                New Hampshire (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310352.0,311877.0,312743.0,311412.0,309243.0,307403.0,305169.0,300918.0,296029.0,290850.0,285917.0,281234.0,276349.0,271852.0,267887.0,264919.0,262630.0,260450.0,258170.0,,,
51,                New Jersey (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088885.0,2102838.0,2116591.0,2126014.0,2129051.0,2121878.0,2106403.0,2091023.0,2076366.0,2068684.0,2061667.0,2047412.0,2028470.0,2011104.0,1997925.0,1983364.0,1970473.0,1962001.0,1953631.0,,,
52,                New Mexico (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508132.0,503404.0,502779.0,500777.0,501184.0,502612.0,505125.0,508725.0,511214.0,515470.0,518504.0,517279.0,513447.0,509329.0,503922.0,499292.0,494785.0,488380.0,482153.0,,,
53,                New York (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4687374.0,4672425.0,4652232.0,4619506.0,4574065.0,4514456.0,4457777.0,4410949.0,4372170.0,4342926.0,4319807.0,4296116.0,4264992.0,4236272.0,4205535.0,4180315.0,4148280.0,4109166.0,4068092.0,,,
54,                North Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967626.0,2003782.0,2034451.0,2060838.0,2085165.0,2122485.0,2166393.0,2219168.0,2252101.0,2272955.0,2281349.0,2281469.0,2279958.0,2280343.0,2283124.0,2286738.0,2293538.0,2299943.0,2300622.0,,,
55,                North Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160477.0,156113.0,153097.0,150406.0,149128.0,148119.0,147331.0,147263.0,147462.0,148674.0,150409.0,152739.0,157312.0,163396.0,168573.0,174154.0,175364.0,176373.0,178697.0,,,
56,                Ohio (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886585.0,2878123.0,2865674.0,2849573.0,2836068.0,2819794.0,2804828.0,2790347.0,2768968.0,2748051.0,2723164.0,2694376.0,2668682.0,2653971.0,2642892.0,2631390.0,2618182.0,2607591.0,2593325.0,,,
57,                Oklahoma (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891847.0,885218.0,884961.0,883959.0,881606.0,885316.0,894761.0,904328.0,910617.0,922711.0,931498.0,936148.0,940803.0,949130.0,954857.0,961306.0,962350.0,959173.0,956433.0,,,
58,                Oregon (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847511.0,848663.0,850733.0,850251.0,846786.0,849323.0,857003.0,862161.0,865664.0,866194.0,866023.0,864713.0,861194.0,857970.0,860197.0,863463.0,870667.0,873798.0,873567.0,,,
59,                Pennsylvania (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2918850.0,2905836.0,2894935.0,2883270.0,2873125.0,2859793.0,2850778.0,2839574.0,2821004.0,2804929.0,2786430.0,2763820.0,2740151.0,2718128.0,2703305.0,2689671.0,2675025.0,2663231.0,2648911.0,,,
60,                Rhode Island (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248065.0,248296.0,248690.0,248075.0,246228.0,241932.0,237348.0,233655.0,229798.0,225902.0,223485.0,220546.0,217541.0,214882.0,212488.0,210691.0,209001.0,206899.0,205202.0,,,
61,                South Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010641.0,1016134.0,1020531.0,1023785.0,1029111.0,1036941.0,1050042.0,1064190.0,1074116.0,1079729.0,1079243.0,1075800.0,1076071.0,1077218.0,1082936.0,1091181.0,1097492.0,1103021.0,1105655.0,,,
62,                South Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202681.0,200795.0,198694.0,197326.0,196804.0,196476.0,197332.0,198847.0,199848.0,201204.0,203212.0,204022.0,205499.0,207765.0,209653.0,211155.0,213763.0,216151.0,217606.0,,,
63,                Tennessee (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399685.0,1407578.0,1414857.0,1424861.0,1433343.0,1449326.0,1470166.0,1482747.0,1494354.0,1494687.0,1494690.0,1491410.0,1491756.0,1492118.0,1495089.0,1499226.0,1502872.0,1506196.0,1506219.0,,,
64,                Texas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5906301.0,5980187.0,6060372.0,6132980.0,6208259.0,6290970.0,6446798.0,6565872.0,6675917.0,6792907.0,6877606.0,6933728.0,6991156.0,7053862.0,7142469.0,7240925.0,7316392.0,7365791.0,7398009.0,,,
65,                Utah (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721686.0,726819.0,733517.0,740483.0,751771.0,767888.0,789957.0,815496.0,837258.0,857853.0,874022.0,881982.0,888588.0,897446.0,903790.0,910592.0,920274.0,927441.0,932462.0,,,
66,                Vermont (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147549.0,146040.0,144441.0,142718.0,141068.0,138933.0,136731.0,134695.0,132600.0,130450.0,128801.0,126996.0,124926.0,123114.0,121552.0,120090.0,118288.0,116981.0,115973.0,,,
67,                Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741420.0,1754549.0,1771247.0,1782254.0,1801958.0,1816270.0,1826368.0,1834386.0,1838361.0,1845132.0,1854870.0,1857143.0,1861872.0,1863735.0,1864659.0,1867071.0,1869112.0,1870944.0,1869737.0,,,
68,                Washington (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516361.0,1517527.0,1517655.0,1514877.0,1520751.0,1523890.0,1536926.0,1549582.0,1560302.0,1574403.0,1582791.0,1586256.0,1588536.0,1593442.0,1601850.0,1614360.0,1632927.0,1651817.0,1663283.0,,,
69,                West Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401062.0,395307.0,393569.0,392460.0,391856.0,390431.0,390637.0,390661.0,390210.0,389036.0,387242.0,385564.0,384472.0,382451.0,380798.0,378231.0,374348.0,369122.0,364160.0,,,
70,                Wisconsin (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370440.0,1367593.0,1365315.0,1358505.0,1354643.0,1349866.0,1348785.0,1348901.0,1345573.0,1342411.0,1336983.0,1326328.0,1316739.0,1308805.0,1302117.0,1295144.0,1288339.0,1283017.0,1276101.0,,,
71,                Wyoming (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128774.0,126212.0,125495.0,124182.0,123974.0,124022.0,125525.0,128760.0,131511.0,134960.0,135486.0,135370.0,136382.0,137669.0,138364.0,139552.0,138773.0,136247.0,134775.0,,,
72,        Working-age (16-64) (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146228559.0,148208039.0,149865297.0,151358359.0,152791366.0,154216286.0,155758958.0,157278129.0,158587206.0,159657205.0,160886927.0,162612367.0,164469033.0,166383577.0,168328848.0,170372622.0,172671282.0,175179882.0,177757791.0,180352215.0,182748324.0,185144529.0,187442080.0,189443100.0,191685314.0,193890786.0,196292581.0,198359386.0,200089979.0,201800866.0,202180318.0,203679596.0,204234003.0,204948503.0,205756357.0,206606966.0,207438355.0,208052087.0,208277025.0,208314910.0,209355412.0,
73,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876952.0,2892072.0,2907136.0,2928447.0,2951770.0,2981123.0,3025341.0,3057215.0,3083049.0,3110547.0,3112161.0,3119564.0,3114216.0,3113427.0,3108550.0,3104307.0,3099320.0,3093793.0,3084744.0,3077388.0,3069690.0,
75,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422758.0,429468.0,437559.0,443486.0,453165.0,460145.0,467343.0,471697.0,476476.0,481603.0,469451.0,477311.0,479308.0,479470.0,477745.0,475680.0,475519.0,470973.0,466006.0,460904.0,455815.0,
76,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260230.0,3339609.0,3426523.0,3502343.0,3598558.0,3720558.0,3850578.0,3938826.0,4001648.0,4037583.0,4051162.0,4096541.0,4128892.0,4161222.0,4209431.0,4259409.0,4319194.0,4373261.0,4434230.0,4500141.0,4569981.0,
77,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703339.0,1716921.0,1731108.0,1745996.0,1764875.0,1786178.0,1812985.0,1829955.0,1843302.0,1854991.0,1861796.0,1874514.0,1871381.0,1869900.0,1868386.0,1870535.0,1873206.0,1874242.0,1872073.0,1869484.0,1868834.0,
78,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22089960.0,22497946.0,22832809.0,23134030.0,23424757.0,23662735.0,23897624.0,24114249.0,24369979.0,24631415.0,24731688.0,24950909.0,25088235.0,25231569.0,25392146.0,25525330.0,25627869.0,25683507.0,25670553.0,25579423.0,25447648.0,
79,                Colorado (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924548.0,2999331.0,3048836.0,3073299.0,3108275.0,3144330.0,3203270.0,3255611.0,3308145.0,3356572.0,3366603.0,3413272.0,3443996.0,3482403.0,3526663.0,3589597.0,3646820.0,3687052.0,3731440.0,3766054.0,3791467.0,
80,                Connecticut (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186449.0,2206069.0,2231611.0,2254295.0,2269811.0,2287645.0,2305971.0,2317723.0,2329911.0,2343084.0,2349500.0,2360036.0,2356180.0,2352630.0,2349372.0,2340786.0,2329518.0,2319201.0,2309350.0,2292288.0,2275827.0,
81,                Delaware (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510600.0,518034.0,526359.0,535187.0,544376.0,554622.0,564383.0,572665.0,579249.0,583778.0,584678.0,589224.0,589835.0,591612.0,594687.0,597403.0,598848.0,599774.0,600997.0,602811.0,604689.0,
82,                District of Columbia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399234.0,402477.0,402499.0,400794.0,402256.0,404378.0,411184.0,416587.0,423125.0,434255.0,443388.0,454374.0,463002.0,471711.0,477471.0,484602.0,490110.0,494938.0,498308.0,498716.0,499976.0,
83,                Florida (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9987284.0,10230636.0,10491666.0,10735314.0,11046623.0,11366264.0,11636707.0,11787490.0,11867854.0,11935265.0,11980422.0,12107496.0,12189341.0,12290773.0,12430937.0,12610908.0,12816856.0,12989535.0,13104906.0,13174691.0,13258297.0,
84,                Georgia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496806.0,5600898.0,5690531.0,5763438.0,5870330.0,5965693.0,6119261.0,6242115.0,6335615.0,6410969.0,6404565.0,6450946.0,6489377.0,6507957.0,6545403.0,6599949.0,6672849.0,6730524.0,6777413.0,6829827.0,6864370.0,
85,                Hawaii (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790410.0,801232.0,812924.0,821473.0,838541.0,853817.0,868637.0,871895.0,882000.0,888233.0,858662.0,864494.0,865226.0,864698.0,861769.0,859413.0,858714.0,850630.0,843044.0,832106.0,821295.0,
86,                Idaho (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826949.0,842548.0,856828.0,872502.0,891675.0,914252.0,939398.0,960837.0,975664.0,985181.0,987057.0,994550.0,998350.0,1004082.0,1012363.0,1021759.0,1039761.0,1059439.0,1076925.0,1097424.0,1118881.0,
87,                Illinois (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8045605.0,8102571.0,8150487.0,8183841.0,8227311.0,8262915.0,8316558.0,8364586.0,8400802.0,8439392.0,8437934.0,8470877.0,8450835.0,8438750.0,8411854.0,8366939.0,8311641.0,8257309.0,8184770.0,8109595.0,8022269.0,
88,                Indiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3939622.0,3969303.0,3996157.0,4027527.0,4055847.0,4089932.0,4129790.0,4160837.0,4184408.0,4205888.0,4220803.0,4241397.0,4238428.0,4246507.0,4248875.0,4244480.0,4248160.0,4247928.0,4253127.0,4254582.0,4251470.0,
89,                Iowa (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847681.0,1855660.0,1863694.0,1872523.0,1883695.0,1894758.0,1909250.0,1920728.0,1930290.0,1940694.0,1950609.0,1962123.0,1962204.0,1967890.0,1972198.0,1972484.0,1970896.0,1968638.0,1961923.0,1959383.0,1952604.0,
90,                Kansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706446.0,1719619.0,1733991.0,1743820.0,1755350.0,1765782.0,1781946.0,1793266.0,1807534.0,1820028.0,1813463.0,1820688.0,1821342.0,1819354.0,1820258.0,1820204.0,1818545.0,1808943.0,1801873.0,1792597.0,1785725.0,
91,                Kentucky (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662873.0,2680470.0,2699966.0,2718297.0,2741292.0,2765031.0,2787752.0,2812248.0,2826837.0,2842839.0,2839673.0,2851820.0,2844346.0,2848482.0,2841659.0,2839837.0,2836089.0,2834155.0,2823714.0,2813774.0,2801664.0,
92,                Louisiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882011.0,2899338.0,2924453.0,2947948.0,2977981.0,3001584.0,2839702.0,2886157.0,2919960.0,2958336.0,2970902.0,2995714.0,2994199.0,2998784.0,2999939.0,3001382.0,2995978.0,2974660.0,2952164.0,2929143.0,2903082.0,
93,                Maine (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828587.0,837973.0,848875.0,859662.0,867421.0,873593.0,878896.0,881299.0,882420.0,880508.0,874773.0,875944.0,868518.0,862774.0,859211.0,853343.0,849681.0,846350.0,842630.0,839998.0,837426.0,
94,                Maryland (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497863.0,3548941.0,3603447.0,3648995.0,3692366.0,3735068.0,3773369.0,3797370.0,3816577.0,3847737.0,3858559.0,3891853.0,3905247.0,3912770.0,3914378.0,3915976.0,3902690.0,3899049.0,3885561.0,3870780.0,3849590.0,
95,                Massachusetts (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4158093.0,4198796.0,4228221.0,4245874.0,4255232.0,4265688.0,4290034.0,4315487.0,4341090.0,4379662.0,4409931.0,4447999.0,4466394.0,4489829.0,4514046.0,4526055.0,4535051.0,4546863.0,4543607.0,4532417.0,4512280.0,
96,                Michigan (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6420756.0,6461962.0,6497069.0,6527980.0,6551534.0,6563652.0,6573716.0,6557164.0,6515718.0,6484319.0,6462862.0,6472181.0,6454726.0,6445578.0,6436042.0,6416751.0,6405454.0,6393455.0,6367058.0,6327501.0,6276873.0,
97,                Minnesota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3199250.0,3245528.0,3282742.0,3314528.0,3344087.0,3373085.0,3407190.0,3436122.0,3456760.0,3474852.0,3485198.0,3507557.0,3512276.0,3522438.0,3531052.0,3535791.0,3544095.0,3553950.0,3558777.0,3560023.0,3553186.0,
98,                Mississippi (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820658.0,1829292.0,1838799.0,1847680.0,1862995.0,1875988.0,1880250.0,1895017.0,1906094.0,1913654.0,1906828.0,1911611.0,1905288.0,1905037.0,1900626.0,1893175.0,1889617.0,1884602.0,1868527.0,1856417.0,1838867.0,
99,                Missouri (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3587372.0,3622492.0,3658744.0,3691032.0,3725307.0,3761408.0,3802437.0,3834195.0,3854263.0,3876726.0,3876925.0,3887770.0,3878841.0,3874579.0,3872683.0,3872449.0,3867208.0,3863896.0,3852148.0,3840383.0,3827825.0,
100,                Montana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581735.0,586849.0,592739.0,600266.0,609336.0,617376.0,626665.0,634379.0,640317.0,643741.0,642669.0,645484.0,645150.0,647762.0,648892.0,650189.0,652410.0,655741.0,656429.0,657230.0,659902.0,
101,                Nebraska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084999.0,1093482.0,1102432.0,1112326.0,1121373.0,1131030.0,1140218.0,1146922.0,1154117.0,1163429.0,1166274.0,1173584.0,1176871.0,1180429.0,1184373.0,1186571.0,1190453.0,1191703.0,1192029.0,1190874.0,1189353.0,
102,                Nevada (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332961.0,1386142.0,1436436.0,1486302.0,1553003.0,1613635.0,1677837.0,1729458.0,1761916.0,1777844.0,1775184.0,1777630.0,1789549.0,1800829.0,1819041.0,1843208.0,1869255.0,1898271.0,1930317.0,1964105.0,1988057.0,
