Rank,Root Domain,Linking Root Domains,Domain Authority
191,20minutos.es,"121,361",93
192,cbc.ca,"346,118",93
193,amzn.to,"728,271",93
194,ovh.co.uk,"489,956",93
195,sciencedaily.com,"285,438",93
196,pbs.org,"420,078",93
197,imageshack.us,"783,473",93
198,nginx.com,"496,507",93
199,espn.com,"306,803",93
200,repubblica.it,"168,621",93
201,sputniknews.com,"134,718",93
202,doubleclick.net,"642,564",93
203,hm.com,"151,156",93
204,abc.net.au,"320,390",93
205,news.com.au,"254,633",93
206,spiegel.de,"264,673",93
207,rapidshare.com,"280,131",93
208,ign.com,"229,220",93
209,walmart.com,"265,914",93
210,sciencemag.org,"260,507",93
211,instructables.com,"273,349",93
212,soundcloud.com,"1,571,352",93
213,disqus.com,"911,404",93
214,loc.gov,"372,176",93
215,digg.com,"836,262",93
216,bandcamp.com,"513,375",93
217,addthis.com,"693,464",93
218,naver.com,"442,429",93
219,sapo.pt,"205,368",93
220,rt.com,"228,288",93
221,php.net,"617,151",93
222,m.wikipedia.org,"229,114",93
223,groups.google.com,"300,785",93
224,google.co.id,"154,589",93
225,nationalgeographic.com,"526,546",93
226,depositfiles.com,"138,745",93
227,shopify.com,"1,361,401",93
228,blackberry.com,"131,284",93
229,nature.com,"439,696",93
230,bund.de,"460,570",93
231,ovh.com,"446,104",93
232,cnbc.com,"392,383",93
233,storage.googleapis.com,"555,712",93
234,wp.com,"931,353",93
235,godaddy.com,"2,416,684",93
236,netflix.com,"242,000",93
237,nginx.org,"583,424",93
238,google.co.in,"249,923",93
239,bp2.blogger.com,"522,853",93
240,wiley.com,"435,956",93
241,unesco.org,"252,831",93
242,stackoverflow.com,"286,649",93
243,playstation.com,"178,531",93
244,noaa.gov,"278,701",93
245,theatlantic.com,"423,747",93
246,sendspace.com,"150,622",93
247,mozilla.com,"193,999",93
248,imageshack.com,"437,744",93
249,whitehouse.gov,"308,870",93
250,guardian.co.uk,"523,430",93
251,oup.com,"303,185",93
252,rottentomatoes.com,"195,004",93
253,nypost.com,"279,736",93
254,amazon.es,"152,696",93
255,ted.com,"480,410",93
256,nbcnews.com,"567,937",93
257,washington.edu,"301,208",93
258,ietf.org,"331,339",93
259,weibo.com,"1,457,661",93
260,goodreads.com,"693,537",93
261,hp.com,"386,377",93
262,adssettings.google.com,"283,746",93
263,picasa.google.com,"246,830",93
264,secureserver.net,"1,035,041",93
265,photos1.blogger.com,"823,266",93
266,finance.yahoo.com,"371,192",93
267,t.co,"1,719,635",93
268,gizmodo.com,"343,604",93
269,list-manage.com,"663,108",93
270,google.com.tw,"141,907",93
271,psychologytoday.com,"269,804",93
272,quora.com,"310,262",93
273,mit.edu,"562,753",93
274,sciencedirect.com,"424,345",93
275,usnews.com,"319,219",93
276,discord.com,"180,316",93
277,target.com,"224,936",93
278,mega.nz,"152,078",93
279,code.google.com,"314,518",93
280,researchgate.net,"327,652",93
281,addtoany.com,"726,646",93
282,ria.ru,"155,015",93
283,instagram.com,"22,174,825",93
284,nydailynews.com,"297,865",93
285,alibaba.com,"358,738",93
286,elmundo.es,"192,161",93
287,dw.com,"221,395",93
288,techcrunch.com,"385,225",93
289,engadget.com,"393,068",93
290,goo.ne.jp,"294,397",93
291,sfgate.com,"314,546",93
292,yandex.ru,"952,474",93
293,apache.org,"879,315",93
294,gnu.org,"545,417",93
295,theverge.com,"303,058",93
296,princeton.edu,"272,746",93
297,pixabay.com,"297,889",93
298,buzzfeed.com,"442,911",93
299,britannica.com,"273,577",93
300,photobucket.com,"1,587,780",93
301,akamaihd.net,"411,146",93
302,about.com,"664,303",93
303,yahoo.co.jp,"609,294",93
304,shutterstock.com,"254,135",93
305,deezer.com,"127,670",93
306,cbsnews.com,"424,333",93
307,ggpht.com,"573,712",93
308,privacyshield.gov,"390,162",93
309,www.wix.com,"735,835",93
310,yelp.com,"831,117",93
311,lycos.com,"664,789",93
312,pl.wikipedia.org,"127,324",93
313,amazon.fr,"220,511",93
314,search.yahoo.com,"420,012",93
315,surveymonkey.com,"381,925",93
316,skype.com,"366,648",93
317,discord.gg,"191,430",93
318,tripadvisor.com,"450,220",93
319,welt.de,"156,695",93
320,oracle.com,"501,271",93
321,mysql.com,"378,292",93
322,ru.wikipedia.org,"352,375",93
323,smh.com.au,"259,250",93
324,www.wikipedia.org,"510,556",93
325,npr.org,"597,497",93
326,ikea.com,"260,173",93
327,bing.com,"888,931",93
328,groups.yahoo.com,"300,388",93
329,abc.es,"156,240",93
330,chicagotribune.com,"294,144",93
331,ytimg.com,"270,290",93
332,ea.com,"155,475",93
333,disney.com,"209,142",93
334,kickstarter.com,"400,893",93
335,cambridge.org,"222,074",93
336,gmail.com,"180,009",93
337,variety.com,"196,368",93
338,eventbrite.com,"532,063",93
339,www.over-blog.com,"781,058",93
340,umich.edu,"285,025",93
341,gofundme.com,"270,698",93
342,mashable.com,"340,997",93
343,columbia.edu,"270,249",93
344,box.com,"232,525",93
345,cornell.edu,"367,989",93
346,thetimes.co.uk,"300,751",93
347,wikihow.com,"346,158",93
348,stanford.edu,"504,160",93
349,yadi.sk,"175,016",93
350,nikkei.com,"188,640",93
351,googleblog.com,"232,292",93
352,google.nl,"234,612",93
353,rambler.ru,"229,266",93
354,academia.edu,"288,328",93
355,express.co.uk,"200,860",93
